City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,east end,34.5507,-92.341,295.16,92,88,2.23,US,2023-06-13 02:36:20
102,tarfaya,27.9358,-12.9218,294.68,84,2,5.46,MA,2023-06-13 02:36:20
103,sona,45.4388,10.8255,293.84,77,75,5.66,IT,2023-06-13 02:36:20
104,dudinka,69.4058,86.1778,281.83,56,64,2.98,RU,2023-06-13 02:34:25
105,geraldton,-28.7667,114.6,289.38,59,0,5.66,AU,2023-06-13 02:29:27
106,kurakhovo,47.9852,37.2821,285.57,92,25,4.48,UA,2023-06-13 02:36:21
107,tralee,52.2704,-9.7026,288.67,95,91,1.12,IE,2023-06-13 02:36:21
108,yellowknife,62.456,-114.3525,280.44,70,75,3.09,CA,2023-06-13 02:33:51
109,beau vallon,-20.4189,57.6953,296.6,94,40,2.06,MU,2023-06-13 02:36:21
110,howrah,22.5892,88.3103,304.15,84,40,2.57,IN,2023-06-13 02:35:38
111,sohbatpur,28.5202,68.5434,310.2,35,0,6.81,PK,2023-06-13 02:36:21
112,vernon,50.2581,-119.2691,305.35,46,34,2.24,CA,2023-06-13 02:35:37
113,crane,31.3974,-102.3501,305.04,13,2,4.29,US,2023-06-13 02:33:47
114,pisco,-13.7,-76.2167,293.18,77,2,3.09,PE,2023-06-13 02:34:24
115,qamdo,31.1667,97.2333,276.18,93,100,1.07,CN,2023-06-13 02:29:43
116,polyarnyy,69.1989,33.4478,283.02,65,92,6.32,RU,2023-06-13 02:35:19
117,valparaiso,-33.0393,-71.6273,277.95,100,0,2.06,CL,2023-06-13 02:35:12
118,chonchi,-42.6128,-73.8092,276.71,95,18,0.85,CL,2023-06-13 02:29:09
119,acajutla,13.5928,-89.8275,300.96,85,100,1.11,SV,2023-06-13 02:36:22
120,tual,-5.6667,132.75,300.13,81,100,8.64,ID,2023-06-13 02:35:35
121,vorgashor,67.5833,63.95,281.38,53,100,5.75,RU,2023-06-13 02:34:01
122,rongelap,11.1635,166.8941,301.15,80,99,8.19,MH,2023-06-13 02:36:22
123,borogontsy,62.6683,131.1683,281.65,74,100,1.39,RU,2023-06-13 02:36:23
124,cherokee,34.2668,-84.4499,293.97,85,0,0.0,US,2023-06-13 02:32:24
125,inhambane,-23.865,35.3833,292.63,89,51,3.09,MZ,2023-06-13 02:29:35
126,aberdeen,57.1437,-2.0981,289.07,100,62,1.54,GB,2023-06-13 02:36:23
127,nouadhibou,20.931,-17.0347,294.14,82,0,8.9,MR,2023-06-13 02:31:03
128,livingstone,-17.8419,25.8543,288.09,31,39,2.95,ZM,2023-06-13 02:36:23
129,aasiaat,68.7098,-52.8699,270.56,86,44,2.1,GL,2023-06-13 02:34:10
130,twon-brass,4.3151,6.2418,299.27,82,100,3.03,NG,2023-06-13 02:36:23
131,vadso,70.0744,29.7487,282.24,61,100,6.17,NO,2023-06-13 02:29:46
132,badger,64.8,-147.5333,290.58,42,100,7.72,US,2023-06-13 02:34:28
133,greymouth,-42.4667,171.2,286.08,58,13,1.38,NZ,2023-06-13 02:29:17
134,callao,-12.0667,-77.15,294.31,78,75,8.75,PE,2023-06-13 02:31:51
135,medicine hat,50.0501,-110.6683,300.39,44,40,3.09,CA,2023-06-13 02:34:57
136,harlingen,26.1906,-97.6961,302.1,87,0,5.66,US,2023-06-13 02:33:16
137,ust-nera,64.5667,143.2,280.87,84,100,3.65,RU,2023-06-13 02:33:56
138,qalat,32.1058,66.9083,300.97,12,0,1.12,AF,2023-06-13 02:36:24
139,yokohama,35.4478,139.6425,303.22,83,40,1.54,JP,2023-06-13 02:32:43
140,ancud,-41.8697,-73.8203,277.67,90,61,2.61,CL,2023-06-13 02:35:03
141,pemba,-12.974,40.5178,296.54,94,20,1.03,MZ,2023-06-13 02:33:56
142,haiku-pauwela,20.9219,-156.3051,303.16,57,0,9.77,US,2023-06-13 02:34:04
143,bonnyville,54.2668,-110.735,295.77,61,9,1.66,CA,2023-06-13 02:36:24
144,bubaque,11.2833,-15.8333,299.37,85,100,4.77,GW,2023-06-13 02:29:23
145,kolokani,13.5728,-8.0339,297.84,71,81,7.15,ML,2023-06-13 02:34:49
146,owosso,42.9978,-84.1766,287.23,77,0,3.13,US,2023-06-13 02:32:29
147,tisul',55.7611,88.3122,286.22,64,100,2.52,RU,2023-06-13 02:34:50
148,kone,-21.0595,164.8658,299.46,47,10,2.1,NC,2023-06-13 02:29:33
149,terenozek,45.05,64.9833,300.24,13,60,9.99,KZ,2023-06-13 02:36:25
150,aykhal,66.0,111.5,288.39,34,11,7.69,RU,2023-06-13 02:34:02
151,concordia,-31.393,-58.0209,275.81,100,76,2.6,AR,2023-06-13 02:36:25
152,new norfolk,-42.7826,147.0587,286.44,77,94,1.37,AU,2023-06-13 02:34:23
153,tiksi,71.6872,128.8694,275.91,96,100,3.1,RU,2023-06-13 02:33:52
